source	target	mor	confidenceLevel	resource
argR	SL3257	-1	Strong	RegulonDB
argR	SL3258	-1	Strong	RegulonDB
argR	SL3259	-1	Strong	RegulonDB
argR	SL3260	-1	Strong	RegulonDB
argR	SL3261	-1	Strong	RegulonDB
argR	SL3262	-1	Strong	RegulonDB
argR	SL3301	-1	Strong	RegulonDB
argR	SL3302	-1	Strong	RegulonDB
argR	SL3303	-1	Strong	RegulonDB
argR	SL3332	-1	Strong	RegulonDB
argR	SL3435	-1	Strong	RegulonDB
argR	SL3454	-1	Strong	RegulonDB
argR	SL3690	-1	Strong	RegulonDB
argR	SL4070	-1	Strong	RegulonDB
argR	SL4071	-1	Strong	RegulonDB
argR	SL4072	-1	Strong	RegulonDB
argR	SL4073	-1	Strong	RegulonDB
argR	SL4219	1	Strong	RegulonDB
argR	SL4399	-1	Strong	RegulonDB
argR	SL4502	-1	Strong	RegulonDB
asnCb	SL3841	-1	Weak	RegulonDB
asnCb	SL3842	-1	Weak	RegulonDB
asnCb	SL3843	-1	Weak	RegulonDB
asnCb	SL3844	1	Weak	RegulonDB
baeR	SL1243	1	Strong	RegulonDB
baeR	SL2103	1	Strong	RegulonDB
baeR	SL2104	1	Strong	RegulonDB
baeR	SL2105	1	Strong	RegulonDB
baeR	SL2106	1	Strong	RegulonDB
baeR	SL2107	1	Strong	RegulonDB
baeR	SL2108	1	Strong	RegulonDB
baeR	SL2444	1	Strong	RegulonDB
baeR	SL3726	1	Weak	RegulonDB
bara-sira	SL1029	1	Weak	SalComRegulon
bara-sira	SL1030	1	Weak	SalComRegulon
bara-sira	SL1184	1	Weak	SalComRegulon
bara-sira	SL1263	1	Weak	SalComRegulon
bara-sira	SL1330	1	Weak	SalComRegulon
bara-sira	SL1340	1	Weak	SalComRegulon
bara-sira	SL1559	1	Weak	SalComRegulon
bara-sira	SL1784	1	Weak	SalComRegulon
bara-sira	SL2674	1	Weak	SalComRegulon
bara-sira	SL2858	1	Weak	SalComRegulon
bara-sira	SL2861	1	Weak	SalComRegulon
bara-sira	SL2862	1	Weak	SalComRegulon
bara-sira	SL2863	1	Weak	SalComRegulon
bara-sira	SL2864	1	Weak	SalComRegulon
bara-sira	SL2865	1	Weak	SalComRegulon
bara-sira	SL2924	1	Weak	SalComRegulon
bara-sira	SL4193	1	Weak	SalComRegulon
bara-sira	SL4194	1	Weak	SalComRegulon
bara-sira	SL4195	1	Weak	SalComRegulon
bara-sira	SL4196	1	Weak	SalComRegulon
bara-sira	SL4197	1	Weak	SalComRegulon
bara-sira	SL4198	1	Weak	SalComRegulon
basR	SL0466	1	Strong	RegulonDB
basR	SL0467	1	Strong	RegulonDB
basR	SL0697	1	Strong	RegulonDB
basR	SL1062	-1	Strong	RegulonDB
basR	SL1076	1	Strong	RegulonDB
basR	SL1077	1	Strong	RegulonDB
basR	SL1078	1	Strong	RegulonDB
basR	SL1079	1	Strong	RegulonDB
basR	SL1924	1	Strong	RegulonDB
basR	SL2266	1	Strong	RegulonDB
basR	SL2267	1	Strong	RegulonDB
basR	SL2268	1	Strong	RegulonDB
basR	SL2269	1	Strong	RegulonDB
basR	SL2270	1	Strong	RegulonDB
basR	SL2272	1	Strong	RegulonDB
basR	SL3151	1	Strong	RegulonDB
basR	SL3152	1	Strong	RegulonDB
basR	SL3297	-1	Strong	RegulonDB
basR	SL4173	1	Strong	RegulonDB
basR	SL4230	1	Strong	RegulonDB
birA	SL0770	-1	Strong	RegulonDB
birA	SL0771	-1	Strong	RegulonDB
birA	SL0772	-1	Strong	RegulonDB
birA	SL0773	-1	Strong	RegulonDB
bolA	SL0839	1	Weak	RegulonDB
bolA	SL1076	1	Weak	RegulonDB
bolA	SL1077	1	Weak	RegulonDB
bolA	SL1078	1	Weak	RegulonDB
bolA	SL1079	1	Weak	RegulonDB
bolA	SL1081	1	Weak	RegulonDB
bolA	SL3344	-1	Strong	RegulonDB
bolA	SL3345	-1	Strong	RegulonDB
bolA	SL3346	-1	Strong	RegulonDB
cadC	SL2519	1	Weak	RegulonDB
cadC	SL2520	1	Strong	RegulonDB
caiF	SL0070	1	Strong	RegulonDB
caiF	SL0071	1	Strong	RegulonDB
caiF	SL0072	1	Strong	RegulonDB
caiF	SL0074	1	Strong	RegulonDB
caiF	SL0075	1	Strong	RegulonDB
caiF	SL0076	1	Strong	RegulonDB
caiF	SL0077	1	Strong	RegulonDB
caiF	SL0078	1	Strong	RegulonDB
caiF	SL0079	1	Strong	RegulonDB
cdaR	SL0211	1	Weak	RegulonDB
cdaR	SL2941	1	Weak	RegulonDB
cdaR	SL2942	1	Weak	RegulonDB
cdaR	SL2943	1	Weak	RegulonDB
cdaR	SL3220	1	Weak	RegulonDB
cdaR	SL3221	1	Weak	RegulonDB
cdaR	SL3222	1	Weak	RegulonDB
